date,game_num,day_of_week,v_team,v_league,v_game_num,h_team,h_league,h_game_num,v_score,h_score,length_in_outs,day_night,completion_info,forfeit_info,protest_info,park_id,attendance,time_of_game_min,v_line_score,h_line_score,v_at_bats,v_hits,v_doubles,v_triples,v_homeruns,v_rbi,v_sacrifice_hits,v_sacrifice_flies,v_hit_by_pitch,v_walks,v_intentional_walks,v_strikeouts,v_stolen_bases,v_caught_stealing,v_grounded_into_dp,v_catcher_interference,v_left_on_base,v_pitchers_used,v_individual_earned_runs,v_team_earned_runs,v_wild_pitches,v_balks,v_putouts,v_assists,v_errors,v_passed_balls,v_double_plays,v_triple_plays,h_at_bats,h_hits,h_doubles,h_triples,h_homeruns,h_rbi,h_sacrifice_hits,h_sacrifice_flies,h_hit_by_pitch,h_walks,h_intentional_walks,h_strikeouts,h_stolen_bases,h_caught_stealing,h_grounded_into_dp,h_catcher_interference,h_left_on_base,h_pitchers_used,h_individual_earned_runs,h_team_earned_runs,h_wild_pitches,h_balks,h_putouts,h_assists,h_errors,h_passed_balls,h_double_plays,h_triple_plays,hp_umpire_id,hp_umpire_name,1b_umpire_id,1b_umpire_name,2b_umpire_id,2b_umpire_name,3b_umpire_id,3b_umpire_name,lf_umpire_id,lf_umpire_name,rf_umpire_id,rf_umpire_name,v_manager_id,v_manager_name,h_manager_id,h_manager_name,winning_pitcher_id,winning_pitcher_name,losing_pitcher_id,losing_pitcher_name,saving_pitcher_id,saving_pitcher_name,gwrbi_batter_id,gwrbi_batter_name,v_starting_pitcher_id,v_starting_pitcher_name,h_starting_pitcher_id,h_starting_pitcher_name,v_player_1_id,v_player_1_name,v_player_1_pos,v_player_2_id,v_player_2_name,v_player_2_pos,v_player_3_id,v_player_3_name,v_player_3_pos,v_player_4_id,v_player_4_name,v_player_4_pos,v_player_5_id,v_player_5_name,v_player_5_pos,v_player_6_id,v_player_6_name,v_player_6_pos,v_player_7_id,v_player_7_name,v_player_7_pos,v_player_8_id,v_player_8_name,v_player_8_pos,v_player_9_id,v_player_9_name,v_player_9_pos,h_player_1_id,h_player_1_name,h_player_1_pos,h_player_2_id,h_player_2_name,h_player_2_pos,h_player_3_id,h_player_3_name,h_player_3_pos,h_player_4_id,h_player_4_name,h_player_4_pos,h_player_5_id,h_player_5_name,h_player_5_pos,h_player_6_id,h_player_6_name,h_player_6_pos,h_player_7_id,h_player_7_name,h_player_7_pos,h_player_8_id,h_player_8_name,h_player_8_pos,h_player_9_id,h_player_9_name,h_player_9_pos,additional_info,acquisition_info
"20241005","0","Sat","SDN","NL",1,"LAN","NL",1,5,7,51,"N","","","","LOS03",53028,216,"302000000","03031000x",34,7,3,0,1,5,0,0,0,6,0,8,0,0,0,0,8,6,6,6,1,0,24,7,1,0,1,0,34,10,0,0,1,5,0,0,0,5,2,9,2,0,1,0,8,6,5,5,1,0,27,5,0,1,0,0,"rippm901","Mark Ripperger","libkj901","John Libka","blasc901","Cory Blaser","belld901","Dan Bellino","gibsh902","Tripp Gibson","johna901","Adrian Johnson","shilm801","Mike Shildt","robed001","Dave Roberts","brasr001","Ryan Brasier","morea001","Adrian Morejon","treib001","Blake Treinen","hernt002","Teoscar Hernandez","ceasd001","Dylan Cease","yamay001","Yoshinobu Yamamoto","arral001","Luis Arraez",10,"tatif002","Fernando Tatis",9,"profj001","Jurickson Profar",7,"machm001","Manny Machado",5,"merrj002","Jackson Merrill",8,"bogax001","Xander Bogaerts",6,"cronj001","Jake Cronenworth",4,"solad001","Donovan Solano",3,"higak001","Kyle Higashioka",2,"ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"muncm001","Max Muncy",5,"smitw003","Will Smith",2,"lux-g001","Gavin Lux",4,"edmat001","Tommy Edman",8,"rojam002","Miguel Rojas",6,"","Y"
"20241005","0","Sat","NYN","NL",1,"PHI","NL",1,6,2,54,"D","","","","PHI13",45751,195,"000000051","100000001",32,8,0,0,0,6,0,2,1,5,0,11,1,0,1,0,7,5,2,2,0,0,27,10,0,0,0,0,32,5,2,0,1,2,0,0,0,5,0,8,0,0,0,0,8,5,6,6,0,0,27,6,0,0,1,0,"fleta901","Andy Fletcher","mosce901","Edwin Moscoso","eddid901","Doug Eddings","hoyej901","James Hoye","torrc901","Carlos Torres","drakr901","Rob Drake","mendc801","Carlos Mendoza","thomr801","Rob Thomson","garrr001","Reed Garrett","hoffj003","Jeff Hoffman","","(none)","nimmb001","Brandon Nimmo","sengk001","Kodai Senga","wheez001","Zack Wheeler","lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"iglej001","Jose Iglesias",4,"winkj002","Jesse Winker",10,"marts002","Starling Marte",9,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"schwk001","Kyle Schwarber",10,"turnt001","Trea Turner",6,"harpb003","Bryce Harper",3,"castn001","Nick Castellanos",9,"bohma001","Alec Bohm",5,"stotb001","Bryson Stott",4,"realj001","J.T. Realmuto",2,"marsb002","Brandon Marsh",7,"rojaj003","Johan Rojas",8,"","Y"
"20241005","0","Sat","DET","AL",1,"CLE","AL",1,0,7,51,"D","","","","CLE08",33548,170,"000000000","50000200x",29,4,1,0,0,0,0,0,1,2,0,13,0,0,2,0,5,5,7,7,0,0,24,5,0,0,0,0,32,8,4,0,1,7,0,0,1,5,1,8,2,0,0,0,7,5,0,0,0,0,27,8,0,0,2,0,"becka901","Adam Beck","dejer901","Ramon De Jesus","wolfj901","Jim Wolf","ticht901","Todd Tichenor","fairc901","Chad Fairchild","mahrn901","Nick Mahrley","hinca001","A.J. Hinch","vogts001","Stephen Vogt","smitc009","Cade Smith","holtt002","Tyler Holton","","(none)","ramij003","Jose Ramirez","holtt002","Tyler Holton","bibet001","Tanner Bibee","meadp001","Parker Meadows",8,"carpk001","Kerry Carpenter",10,"vierm001","Matt Vierling",9,"greer003","Riley Greene",7,"keitc001","Colt Keith",4,"torks001","Spencer Torkelson",3,"mckiz001","Zach McKinstry",5,"sweet001","Trey Sweeney",6,"rogej004","Jake Rogers",2,"kwans001","Steven Kwan",7,"fry-d001","David Fry",10,"ramij003","Jose Ramirez",5,"naylj001","Josh Naylor",3,"thoml002","Lane Thomas",8,"gimea001","Andres Gimenez",4,"noelj001","Jhonkensy Noel",9,"naylb001","Bo Naylor",2,"roccb001","Brayan Rocchio",6,"","Y"
"20241005","0","Sat","KCA","AL",1,"NYA","AL",1,5,6,51,"N","","","","NYC21",48790,201,"010202000","00202110x",35,9,0,0,1,5,0,1,0,3,0,7,0,0,0,0,7,6,6,6,0,0,24,6,0,0,0,0,33,9,2,0,1,6,0,0,0,8,0,11,1,0,0,0,11,5,3,3,0,0,27,6,1,0,0,0,"hamaa901","Adam Hamari","blakr901","Ryan Blakney","barrl901","Lance Barrett","carlm901","Mark Carlson","barkl901","Lance Barksdale","ortir901","Roberto Ortiz","quatm801","Matt Quatraro","boona001","Aaron Boone","holmc001","Clay Holmes","lorem002","Michael Lorenzen","weavl001","Luke Weaver","verda001","Alex Verdugo","wachm001","Michael Wacha","coleg001","Gerrit Cole","massm001","Michael Massey",4,"wittb002","Bobby Witt",6,"pasqv001","Vinnie Pasquantino",10,"peres002","Salvador Perez",2,"gurry001","Yulieski Gurriel",3,"melem001","MJ Melendez",7,"phamt001","Tommy Pham",9,"isbek001","Kyle Isbel",8,"garcm003","Maikel Garcia",5,"torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"wella002","Austin Wells",2,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"volpa001","Anthony Volpe",6,"cabro002","Oswaldo Cabrera",3,"verda001","Alex Verdugo",7,"","Y"
"20241006","0","Sun","SDN","NL",2,"LAN","NL",2,10,2,54,"N","","","","LOS03",54119,183,"120001033","010000001",39,13,1,0,6,10,0,0,1,1,0,5,0,0,1,0,4,3,2,2,0,0,27,5,0,0,1,0,30,5,0,0,1,2,0,1,0,3,0,5,2,0,0,0,5,6,10,10,0,0,27,13,0,0,1,0,"libkj901","John Libka","blasc901","Cory Blaser","belld901","Dan Bellino","gibsh902","Tripp Gibson","johna901","Adrian Johnson","rippm901","Mark Ripperger","shilm801","Mike Shildt","robed001","Dave Roberts","darvy001","Yu Darvish","flahj002","Jack Flaherty","","(none)","tatif002","Fernando Tatis","darvy001","Yu Darvish","flahj002","Jack Flaherty","arral001","Luis Arraez",3,"tatif002","Fernando Tatis",9,"profj001","Jurickson Profar",7,"machm001","Manny Machado",5,"merrj002","Jackson Merrill",8,"bogax001","Xander Bogaerts",6,"cronj001","Jake Cronenworth",4,"perad001","David Peralta",10,"higak001","Kyle Higashioka",2,"ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"muncm001","Max Muncy",5,"smitw003","Will Smith",2,"lux-g001","Gavin Lux",4,"edmat001","Tommy Edman",8,"rojam002","Miguel Rojas",6,"","Y"
"20241006","0","Sun","NYN","NL",2,"PHI","NL",2,6,7,53,"D","","","","PHI13",45679,193,"002001102","000003031",38,11,1,0,4,6,0,0,0,2,0,10,1,0,0,0,7,4,7,7,0,0,26,5,1,0,0,0,36,10,0,1,2,7,0,0,1,3,0,11,3,1,0,0,7,6,6,6,0,0,27,4,1,0,0,0,"mosce901","Edwin Moscoso","eddid901","Doug Eddings","hoyej901","James Hoye","torrc901","Carlos Torres","drakr901","Rob Drake","fleta901","Andy Fletcher","mendc801","Carlos Mendoza","thomr801","Rob Thomson","hoffj003","Jeff Hoffman","megit002","Tylor Megill","","(none)","castn001","Nick Castellanos","sevel001","Luis Severino","sancc002","Cristopher Sanchez","lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"iglej001","Jose Iglesias",4,"martj006","J.D. Martinez",10,"marts002","Starling Marte",9,"alvaf001","Francisco Alvarez",2,"badeh001","Harrison Bader",8,"schwk001","Kyle Schwarber",10,"turnt001","Trea Turner",6,"harpb003","Bryce Harper",3,"castn001","Nick Castellanos",9,"stotb001","Bryson Stott",4,"realj001","J.T. Realmuto",2,"marsb002","Brandon Marsh",7,"sosae001","Edmundo Sosa",5,"rojaj003","Johan Rojas",8,"","Y"
"20241007","0","Mon","DET","AL",2,"CLE","AL",2,3,0,54,"D","","","","CLE08",33650,162,"000000003","000000000",35,9,2,0,1,3,0,0,0,4,1,10,0,0,0,0,9,3,0,0,0,0,27,8,0,0,2,0,28,3,2,0,0,0,0,0,1,0,0,11,0,0,2,0,2,6,3,3,0,0,27,2,0,0,0,0,"dejer901","Ramon De Jesus","wolfj901","Jim Wolf","ticht901","Todd Tichenor","fairc901","Chad Fairchild","mahrn901","Nick Mahrley","becka901","Adam Beck","hinca001","A.J. Hinch","vogts001","Stephen Vogt","vestw001","Will Vest","clase001","Emmanuel Clase","brieb001","Beau Brieske","carpk001","Kerry Carpenter","skubt001","Tarik Skubal","boydm001","Matt Boyd","mallj001","Justyn-Henry Malloy",10,"vierm001","Matt Vierling",5,"ibana001","Andy Ibanez",4,"greer003","Riley Greene",7,"perew002","Wenceel Perez",9,"torks001","Spencer Torkelson",3,"meadp001","Parker Meadows",8,"rogej004","Jake Rogers",2,"sweet001","Trey Sweeney",6,"kwans001","Steven Kwan",7,"fry-d001","David Fry",10,"ramij003","Jose Ramirez",5,"thoml002","Lane Thomas",8,"naylj001","Josh Naylor",3,"noelj001","Jhonkensy Noel",9,"gimea001","Andres Gimenez",4,"hedga001","Austin Hedges",2,"roccb001","Brayan Rocchio",6,"","Y"
"20241007","0","Mon","KCA","AL",2,"NYA","AL",2,4,2,54,"N","","","","NYC21",48034,187,"000400000","001000001",36,11,0,0,1,4,0,0,0,2,0,15,2,1,0,0,7,5,2,2,0,0,27,9,0,0,2,0,32,7,0,0,1,2,0,0,0,5,0,8,1,0,2,0,8,8,4,4,1,0,27,4,1,0,1,0,"blakr901","Ryan Blakney","barrl901","Lance Barrett","carlm901","Mark Carlson","barkl901","Lance Barksdale","ortir901","Roberto Ortiz","hamaa901","Adam Hamari","quatm801","Matt Quatraro","boona001","Aaron Boone","zerpa001","Angel Zerpa","rodoc001","Carlos Rodon","ercel001","Lucas Erceg","phamt001","Tommy Pham","ragac001","Cole Ragans","rodoc001","Carlos Rodon","garcm003","Maikel Garcia",5,"wittb002","Bobby Witt",6,"pasqv001","Vinnie Pasquantino",10,"peres002","Salvador Perez",2,"gurry001","Yulieski Gurriel",3,"massm001","Michael Massey",4,"phamt001","Tommy Pham",7,"renfh001","Hunter Renfroe",9,"hampg001","Garrett Hampson",8,"torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"wella002","Austin Wells",2,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"volpa001","Anthony Volpe",6,"verda001","Alex Verdugo",7,"bertj001","Jon Berti",3,"","Y"
"20241008","0","Tue","LAN","NL",3,"SDN","NL",3,5,6,51,"N","","","","SAN02",47744,154,"104000000","06000000x",33,6,0,0,2,5,0,0,0,1,0,9,0,0,0,0,2,4,6,6,1,0,24,8,1,0,1,0,31,7,1,0,1,6,0,1,0,1,1,4,0,0,1,0,3,5,5,5,0,0,27,7,0,0,0,0,"blasc901","Cory Blaser","belld901","Dan Bellino","gibsh902","Tripp Gibson","johna901","Adrian Johnson","rippm901","Mark Ripperger","libkj901","John Libka","robed001","Dave Roberts","shilm801","Mike Shildt","kingm002","Michael King","buehw001","Walker Buehler","suarr002","Robert Suarez","perad001","David Peralta","buehw001","Walker Buehler","kingm002","Michael King","ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"muncm001","Max Muncy",5,"smitw003","Will Smith",2,"lux-g001","Gavin Lux",4,"edmat001","Tommy Edman",8,"rojam002","Miguel Rojas",6,"arral001","Luis Arraez",3,"tatif002","Fernando Tatis",9,"profj001","Jurickson Profar",7,"machm001","Manny Machado",5,"merrj002","Jackson Merrill",8,"bogax001","Xander Bogaerts",6,"perad001","David Peralta",10,"cronj001","Jake Cronenworth",4,"higak001","Kyle Higashioka",2,"","Y"
"20241008","0","Tue","PHI","NL",3,"NYN","NL",3,2,7,51,"N","","","","NYC20",44093,175,"000000020","01010221x",30,5,0,0,0,2,0,0,2,3,0,8,0,0,0,0,6,5,6,6,0,0,24,3,1,0,0,0,33,9,1,0,2,7,0,0,0,5,0,11,1,0,0,0,7,3,2,2,0,0,27,10,0,0,1,0,"eddid901","Doug Eddings","hoyej901","James Hoye","torrc901","Carlos Torres","drakr901","Rob Drake","fleta901","Andy Fletcher","mosce901","Edwin Moscoso","thomr801","Rob Thomson","mendc801","Carlos Mendoza","manas001","Sean Manaea","nolaa001","Aaron Nola","","(none)","alonp001","Pete Alonso","nolaa001","Aaron Nola","manas001","Sean Manaea","schwk001","Kyle Schwarber",10,"turnt001","Trea Turner",6,"harpb003","Bryce Harper",3,"castn001","Nick Castellanos",9,"bohma001","Alec Bohm",5,"realj001","J.T. Realmuto",2,"haysa001","Austin Hays",7,"sosae001","Edmundo Sosa",4,"rojaj003","Johan Rojas",8,"lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"iglej001","Jose Iglesias",4,"winkj002","Jesse Winker",10,"marts002","Starling Marte",9,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"","Y"
